"Both sexes","45 - 64 years","Belgium",274,333
"Both sexes","45 - 64 years","Bulgaria",291,576
"Both sexes","45 - 64 years","Croatia",137,414
"Both sexes","45 - 64 years","Cyprus",82,112
"Both sexes","45 - 64 years","Czech Republic",532,684
"Both sexes","45 - 64 years","Denmark",158,204
"Both sexes","45 - 64 years","Estonia",303,380
"Both sexes","45 - 64 years","Finland",126,159
"Both sexes","45 - 64 years","France",1131,1805
"Both sexes","45 - 64 years","Germany",2881,3551
"Both sexes","45 - 64 years","Greece",76,157
"Both sexes","45 - 64 years","Hungary",577,992
"Both sexes","45 - 64 years","Italy",920,1496
"Both sexes","45 - 64 years","Latvia",2669,3405
"Both sexes","45 - 64 years","Lithuania",4075,5641
"Both sexes","45 - 64 years","Luxembourg",8,10
"Both sexes","45 - 64 years","Malta",123,134
"Both sexes","45 - 64 years","Netherlands",1255,1396
"Both sexes","45 - 64 years","Poland",9218,13488
"Both sexes","45 - 64 years","Portugal",264,497
"Both sexes","45 - 64 years","Romania",1580,4105
"Both sexes","45 - 64 years","Slovakia",884,1175
"Both sexes","45 - 64 years","Slovenia",28,30
"Both sexes","45 - 64 years","Spain",492,1158
"Both sexes","45 - 64 years","Sweden",221,260
"Both sexes","45 - 64 years","Albania",77,165
"Both sexes","45 - 64 years","Belarus",167,258
"Both sexes","45 - 64 years","Bosnia and Herzegovina",342,417
"Both sexes","45 - 64 years","Kosovo",100,158
"Both sexes","45 - 64 years","Moldova, Republic of",387,879
"Both sexes","45 - 64 years","Norway",74,79
"Both sexes","45 - 64 years","Russian Federation",1042,1397
"Both sexes","45 - 64 years","Serbia",65,122
"Both sexes","45 - 64 years","Switzerland",265,314
"Both sexes","45 - 64 years","Turkey",138,232
"Both sexes","45 - 64 years","Ukraine",634,1064
"Both sexes","45 - 64 years","Other Europe",83,126
"Both sexes","45 - 64 years","Algeria",271,482
"Both sexes","45 - 64 years","Angola",105,230
"Both sexes","45 - 64 years","Botswana",10,29
"Both sexes","45 - 64 years","Cameroon",43,145
"Both sexes","45 - 64 years","Congo",368,714
"Both sexes","45 - 64 years","Egypt",288,377
"Both sexes","45 - 64 years","Ethiopia",27,67
"Both sexes","45 - 64 years","Ghana",194,294
"Both sexes","45 - 64 years","Cote d'Ivoire",22,61
"Both sexes","45 - 64 years","Kenya",221,284
"Both sexes","45 - 64 years","Liberia",30,52
"Both sexes","45 - 64 years","Libya",194,280
"Both sexes","45 - 64 years","Malawi",43,80
"Both sexes","45 - 64 years","Mauritius",218,283
"Both sexes","45 - 64 years","Morocco",123,213
"Both sexes","45 - 64 years","Nigeria",2468,4912
"Both sexes","45 - 64 years","Sierra Leone",64,108
"Both sexes","45 - 64 years","Somalia",145,242
"Both sexes","45 - 64 years","South Africa",1518,1993
"Both sexes","45 - 64 years","Sudan",251,341
"Both sexes","45 - 64 years","Tanzania, United Republic of",79,97
"Both sexes","45 - 64 years","Togo",31,77
"Both sexes","45 - 64 years","Tunisia",36,59
"Both sexes","45 - 64 years","Uganda",84,123
"Both sexes","45 - 64 years","Zambia",197,301
"Both sexes","45 - 64 years","Zimbabwe",525,737
"Both sexes","45 - 64 years","Other Africa",246,362
"Both sexes","45 - 64 years","Afghanistan",43,141
"Both sexes","45 - 64 years","Bahrain",20,27
"Both sexes","45 - 64 years","Bangladesh",198,530
"Both sexes","45 - 64 years","Myanmar",42,66
"Both sexes","45 - 64 years","China",694,1115
"Both sexes","45 - 64 years","United Arab Emirates",1,6
"Both sexes","45 - 64 years","Georgia",146,234
"Both sexes","45 - 64 years","Hong Kong",741,792
"Both sexes","45 - 64 years","India",1500,2349
"Both sexes","45 - 64 years","Indonesia",40,51
"Both sexes","45 - 64 years","Iran, Islamic Republic of",255,338
"Both sexes","45 - 64 years","Iraq",296,411
"Both sexes","45 - 64 years","Israel",58,117
"Both sexes","45 - 64 years","Japan",181,269
"Both sexes","45 - 64 years","Jordan",36,55
"Both sexes","45 - 64 years","Kazakhstan",132,162
"Both sexes","45 - 64 years","Kuwait",33,53
"Both sexes","45 - 64 years","Lao People's Democratic Republic",10,60
"Both sexes","45 - 64 years","Lebanon",50,86
"Both sexes","45 - 64 years","Malaysia",539,795
"Both sexes","45 - 64 years","Mongolia",31,59
"Both sexes","45 - 64 years","Nepal",31,87
"Both sexes","45 - 64 years","Oman",1,1
"Both sexes","45 - 64 years","Pakistan",1094,2079
"Both sexes","45 - 64 years","Philippines",2517,4816
"Both sexes","45 - 64 years","Saudi Arabia",38,97
"Both sexes","45 - 64 years","Singapore",131,152
"Both sexes","45 - 64 years","Korea, Republic of",48,113
"Both sexes","45 - 64 years","Sri Lanka",107,156
"Both sexes","45 - 64 years","Syrian Arab Republic",54,169
"Both sexes","45 - 64 years","Taiwan, Province of China",23,31
"Both sexes","45 - 64 years","Thailand",191,377
"Both sexes","45 - 64 years","Uzbekistan",50,64
"Both sexes","45 - 64 years","Vietnam",198,279
"Both sexes","45 - 64 years","Other Asia",192,255
"Both sexes","45 - 64 years","United States",5827,7541
"Both sexes","45 - 64 years","Argentina",82,132
"Both sexes","45 - 64 years","Brazil",559,1036
"Both sexes","45 - 64 years","Canada",1010,1439
"Both sexes","45 - 64 years","Chile",69,104
"Both sexes","45 - 64 years","Colombia",54,78
"Both sexes","45 - 64 years","Cuba",46,66
"Both sexes","45 - 64 years","Guatemala",13,14
"Both sexes","45 - 64 years","Jamaica",80,78
"Both sexes","45 - 64 years","Mexico",69,131
"Both sexes","45 - 64 years","Peru",56,72
"Both sexes","45 - 64 years","Trinidad and Tobago",69,73
"Both sexes","45 - 64 years","Venezuela",43,78
"Both sexes","45 - 64 years","Other America",209,291
"Both sexes","45 - 64 years","Australia",777,1126
"Both sexes","45 - 64 years","New Zealand",398,599
"Both sexes","65 years and over","Ireland - county of usual residence",357743,414933
"Both sexes","65 years and over","Ireland - county other than county of usual residence",134645,162853
"Both sexes","65 years and over","Northern Ireland",8615,10597
"Both sexes","65 years and over","England and Wales",17344,23277
"Both sexes","65 years and over","Scotland",2341,2791
"Both sexes","65 years and over","Austria",52,75
"Both sexes","65 years and over","Belgium",90,109
"Both sexes","65 years and over","Bulgaria",14,44
"Both sexes","65 years and over","Croatia",11,34
"Both sexes","65 years and over","Cyprus",17,23
"Both sexes","65 years and over","Czech Republic",57,70
"Both sexes","65 years and over","Denmark",56,79
"Both sexes","65 years and over","Estonia",12,21
"Both sexes","65 years and over","Finland",21,33
"Both sexes","65 years and over","France",173,286
"Both sexes","65 years and over","Germany",1017,1287
"Both sexes","65 years and over","Greece",15,31
"Both sexes","65 years and over","Hungary",52,70
"Both sexes","65 years and over","Italy",284,359
"Both sexes","65 years and over","Latvia",97,223
"Both sexes","65 years and over","Lithuania",122,264
"Both sexes","65 years and over","Luxembourg",3,3
"Both sexes","65 years and over","Malta",34,45
"Both sexes","65 years and over","Netherlands",406,561
"Both sexes","65 years and over","Poland",262,657
"Both sexes","65 years and over","Portugal",32,45
"Both sexes","65 years and over","Romania",90,242
"Both sexes","65 years and over","Slovakia",35,53
"Both sexes","65 years and over","Slovenia",4,6
"Both sexes","65 years and over","Spain",116,157
"Both sexes","65 years and over","Sweden",53,73
"Both sexes","65 years and over","Albania",14,16
"Both sexes","65 years and over","Belarus",7,24
"Both sexes","65 years and over","Bosnia and Herzegovina",71,90
"Both sexes","65 years and over","Kosovo",11,25
"Both sexes","65 years and over","Moldova, Republic of",7,37
"Both sexes","65 years and over","Norway",35,36
"Both sexes","65 years and over","Russian Federation",66,134
"Both sexes","65 years and over","Serbia",12,15
"Both sexes","65 years and over","Switzerland",81,127
"Both sexes","65 years and over","Turkey",12,20
"Both sexes","65 years and over","Ukraine",25,51
"Both sexes","65 years and over","Other Europe",21,24
"Both sexes","65 years and over","Algeria",11,12
"Both sexes","65 years and over","Angola",3,4
"Both sexes","65 years and over","Botswana",1,2
"Both sexes","65 years and over","Cameroon",2,6
"Both sexes","65 years and over","Congo",21,31
"Both sexes","65 years and over","Egypt",44,82
"Both sexes","65 years and over","Ethiopia",5,8
"Both sexes","65 years and over","Ghana",8,17
"Both sexes","65 years and over","Cote d'Ivoire",2,2
"Both sexes","65 years and over","Kenya",55,75
"Both sexes","65 years and over","Liberia",0,1
"Both sexes","65 years and over","Libya",3,16
"Both sexes","65 years and over","Malawi",5,8
"Both sexes","65 years and over","Mauritius",23,23
"Both sexes","65 years and over","Morocco",5,18
"Both sexes","65 years and over","Nigeria",57,102
"Both sexes","65 years and over","Sierra Leone",7,14
"Both sexes","65 years and over","Somalia",18,44
"Both sexes","65 years and over","South Africa",327,496
"Both sexes","65 years and over","Sudan",12,18
